时间, CPU使用率, 内存使用率
2026-02-27 13:40:44, 1.76%, 93.09%
2026-02-27 13:40:45, 2.27%, 93.09%
2026-02-27 13:40:46, 3.02%, 93.09%
2026-02-27 13:40:47, 2.53%, 93.09%
2026-02-27 13:40:48, 2.51%, 93.07%
2026-02-27 13:40:49, 2.77%, 93.08%
2026-02-27 13:40:50, 2.25%, 93.08%
2026-02-27 13:40:51, 2.52%, 93.08%
2026-02-27 13:40:52, 3.02%, 93.08%
2026-02-27 13:40:53, 2.76%, 93.08%
2026-02-27 13:40:54, 2.53%, 93.08%
2026-02-27 13:40:55, 3.27%, 93.09%
2026-02-27 13:40:56, 2.02%, 93.09%
2026-02-27 13:40:57, 2.76%, 93.09%
2026-02-27 13:40:58, 3.02%, 93.09%
2026-02-27 13:40:59, 1.76%, 93.09%
2026-02-27 13:41:00, 3.27%, 93.10%
2026-02-27 13:41:01, 3.02%, 93.10%
2026-02-27 13:41:02, 1.76%, 93.10%
2026-02-27 13:41:03, 2.26%, 93.10%
2026-02-27 13:41:04, 2.27%, 93.10%
2026-02-27 13:41:05, 3.01%, 93.10%
2026-02-27 13:41:06, 2.02%, 93.10%
2026-02-27 13:41:07, 3.02%, 93.10%
2026-02-27 13:41:08, 2.27%, 93.10%
2026-02-27 13:41:09, 2.52%, 93.04%
2026-02-27 13:41:10, 4.27%, 93.05%
2026-02-27 13:41:11, 2.02%, 93.05%
2026-02-27 13:41:12, 3.02%, 93.05%
2026-02-27 13:41:13, 3.28%, 93.03%
2026-02-27 13:41:14, 2.02%, 93.05%
2026-02-27 13:41:15, 3.01%, 93.05%
2026-02-27 13:41:16, 2.52%, 93.05%
2026-02-27 13:41:17, 2.02%, 93.05%
2026-02-27 13:41:18, 2.53%, 93.06%
2026-02-27 13:41:19, 2.77%, 93.06%
2026-02-27 13:41:20, 2.01%, 93.06%
2026-02-27 13:41:21, 2.51%, 93.06%
2026-02-27 13:41:22, 3.03%, 93.08%
2026-02-27 13:41:23, 2.02%, 93.08%
